respondent_id,credential_motivation,motivation_type,community_feature_appeal,subscription_wtp,subscription_wtp_numeric,artbox_wtp,artbox_wtp_numeric,purchase_style,session_format_preference,preferred_session_duration,tech_comfort_score_s2,concept_nps_score,top_valued_feature,gifting_intent,open_conversion_requirement,referral_propensity,subscription_intent_label
AURA_0881,Not_Motivated,Social_Content,Yes_Somewhat,349_499,424,799_1199,999,Social_Proof,Guided_Freestyle,20_min,5,9,Indian_Art_Content,No,Integration with Instagram for direct sharing would be amazing,Probably,Try_Free_Trial
AURA_1756,Not_Motivated,Wellness,No,199_349,274,299_499,399,Impulse,Guided_Freestyle,90_min,4,8,Community_Gallery,No,Good quality brushes and paints — not cheap materials,No,Try_Free_Trial
AURA_0942,Strong_Yes,Quality_Time,No,No_Subscription,0,299_499,399,Planned,Guided_Freestyle,60_min,3,7,Pod_Aesthetics,Definitely,Kids mode is a must for my family visits,Definitely,Pay_Per_Session
AURA_0317,Strong_Yes,Intrinsic_Skill,Yes_Strongly,349_499,424,499_799,649,Planned,Challenge_Mode,60_min,3,9,Community_Gallery,Maybe,Clean and hygienic environment is non-negotiable,Probably,Subscribe_Immediately
AURA_0066,Strong_Yes,Social_Content,Yes_Somewhat,99_199,149,499_799,649,Social_Proof,Challenge_Mode,20_min,5,9,AI_Coaching,Definitely,I want to see my progress visually tracked over time,Maybe,Pay_Per_Session
AURA_0174,Strong_Yes,Quality_Time,Neutral,Below_99,60,,999,Impulse,Guided_Stepwise,45_min,4,7,Indian_Art_Content,Definitely,Kids mode is a must for my family visits,Probably,Not_Interested_Sub
AURA_0263,Moderate,Intrinsic_Skill,Yes_Strongly,199_349,274,Below_299,199,Offer_Driven,Challenge_Mode,90_min,5,7,AI_Coaching,Maybe,Integration with Instagram for direct sharing would be amazing,Definitely,Pay_Per_Session
AURA_1733,Not_Motivated,Status_Signal,Neutral,99_199,149,299_499,399,Offer_Driven,Guided_Stepwise,60_min,2,9,Pod_Aesthetics,Maybe,Location in Phoenix Mall Wakad would be perfect,Probably,Pay_Per_Session
AURA_1644,Strong_Yes,Wellness,Yes_Somewhat,349_499,424,Below_299,199,Offer_Driven,Guided_Stepwise,90_min,5,8,Indian_Art_Content,Maybe,Location in Phoenix Mall Wakad would be perfect,Maybe,Try_Free_Trial
AURA_1315,Strong_Yes,Intrinsic_Skill,Yes_Strongly,199_349,274,,999,Social_Proof,Guided_Freestyle,90_min,3,7,Supply_Quality,No,Need to support Hindi language tutorials,Definitely,Try_Free_Trial
AURA_1742,LinkedIn_Only,Quality_Time,Yes_Strongly,99_199,149,499_799,649,Impulse,Guided_Stepwise,90_min,3,7,,No,Corporate team building package must have good group pricing,Probably,Not_Interested_Sub
AURA_0270,Not_Motivated,Quality_Time,Yes_Strongly,99_199,149,499_799,649,Planned,Meditative,60_min,4,8,Indian_Art_Content,Definitely,"The pod should feel like a premium spa, not a DIY store",Probably,Try_Free_Trial
AURA_1642,Not_Motivated,Quality_Time,Yes_Somewhat,99_199,149,299_499,399,Social_Proof,Guided_Freestyle,60_min,4,9,Skill_Progress,Maybe,The artwork should be worth showing — printable quality,Probably,Try_Free_Trial
AURA_1166,LinkedIn_Only,Quality_Time,No,349_499,424,No_Box,0,Impulse,Guided_Stepwise,90_min,3,10,Indian_Art_Content,Probably,"I want to learn Madhubani properly, not just doodle",Probably,Subscribe_Immediately
AURA_0814,Not_Motivated,Intrinsic_Skill,Yes_Strongly,199_349,274,299_499,399,Social_Proof,Challenge_Mode,60_min,2,7,AI_Coaching,Maybe,Integration with Instagram for direct sharing would be amazing,Probably,Pay_Per_Session
AURA_1971,Strong_Yes,Intrinsic_Skill,Yes_Somewhat,Below_99,60,499_799,649,Impulse,Guided_Freestyle,60_min,2,8,,Maybe,I want to see my progress visually tracked over time,Maybe,Try_Free_Trial
AURA_1231,Not_Motivated,Social_Content,Neutral,349_499,424,299_499,399,Offer_Driven,Meditative,90_min,3,8,Supply_Quality,,The AI coaching should feel like a real teacher,Definitely,Pay_Per_Session
AURA_0586,LinkedIn_Only,Wellness,Yes_Somewhat,99_199,149,299_499,399,Impulse,Guided_Stepwise,45_min,3,9,Supply_Quality,Definitely,The artwork should be worth showing — printable quality,Probably,Try_Free_Trial
AURA_0395,LinkedIn_Only,Intrinsic_Skill,,Above_499,599,799_1199,999,Offer_Driven,Challenge_Mode,45_min,4,7,AI_Coaching,Probably,Clean and hygienic environment is non-negotiable,Maybe,Try_Free_Trial
AURA_0842,Moderate,Quality_Time,,Above_499,599,499_799,649,Offer_Driven,Guided_Stepwise,60_min,4,9,,Probably,I'd love a date night version with my partner,Definitely,Subscribe_Immediately
AURA_0886,LinkedIn_Only,Intrinsic_Skill,Yes_Strongly,99_199,149,299_499,399,Planned,Meditative,60_min,3,7,AI_Coaching,Probably,Good quality brushes and paints — not cheap materials,Definitely,Pay_Per_Session
AURA_0820,LinkedIn_Only,Status_Signal,Yes_Strongly,199_349,274,No_Box,0,Planned,Guided_Freestyle,20_min,4,9,Skill_Progress,No,"The pod should feel like a premium spa, not a DIY store",Probably,Not_Interested_Sub
AURA_1459,Moderate,Quality_Time,Yes_Somewhat,199_349,274,Below_299,199,Offer_Driven,Meditative,20_min,4,8,Indian_Art_Content,No,Kids mode is a must for my family visits,Definitely,Try_Free_Trial
AURA_1275,Strong_Yes,Quality_Time,Yes_Strongly,349_499,424,499_799,649,Planned,Guided_Freestyle,60_min,4,9,Pod_Aesthetics,Definitely,Clean and hygienic environment is non-negotiable,Definitely,Subscribe_Immediately
AURA_0830,Moderate,Wellness,Yes_Strongly,Below_99,60,799_1199,999,Social_Proof,Guided_Stepwise,60_min,3,8,AI_Coaching,Definitely,The artwork should be worth showing — printable quality,Definitely,Pay_Per_Session
AURA_0928,Moderate,Wellness,Yes_Somewhat,199_349,274,299_499,399,Planned,Guided_Stepwise,90_min,4,9,AI_Coaching,Definitely,Location in Phoenix Mall Wakad would be perfect,Definitely,Subscribe_Immediately
AURA_1549,Moderate,Wellness,Neutral,Below_99,60,499_799,649,Social_Proof,Guided_Freestyle,60_min,3,9,Pod_Aesthetics,Maybe,Kids mode is a must for my family visits,Maybe,Pay_Per_Session
AURA_1873,Moderate,Status_Signal,Yes_Somewhat,99_199,149,799_1199,999,Offer_Driven,Meditative,45_min,4,9,Supply_Quality,Definitely,Integration with Instagram for direct sharing would be amazing,No,Pay_Per_Session
AURA_0017,Strong_Yes,Status_Signal,Yes_Strongly,199_349,274,799_1199,999,Social_Proof,Guided_Freestyle,60_min,4,9,Supply_Quality,Definitely,"I want to learn Madhubani properly, not just doodle",Probably,Try_Free_Trial
AURA_0349,Strong_Yes,Status_Signal,No,349_499,424,799_1199,999,Social_Proof,Guided_Freestyle,60_min,2,8,Supply_Quality,Probably,Location in Phoenix Mall Wakad would be perfect,Definitely,Subscribe_Immediately
AURA_0971,Strong_Yes,Quality_Time,Yes_Strongly,99_199,149,Below_299,199,Planned,Guided_Freestyle,90_min,4,10,Supply_Quality,Probably,Need to support Hindi language tutorials,No,Try_Free_Trial
AURA_0021,Strong_Yes,Status_Signal,Neutral,199_349,274,No_Box,0,Offer_Driven,Guided_Freestyle,60_min,5,7,Indian_Art_Content,Probably,Would love a monthly challenge or competition,Maybe,Subscribe_Immediately
AURA_1918,Strong_Yes,Wellness,Neutral,Below_99,60,299_499,399,Planned,Meditative,60_min,5,7,Pod_Aesthetics,,Kids mode is a must for my family visits,No,Try_Free_Trial
AURA_0475,Strong_Yes,Status_Signal,,349_499,424,Below_299,199,Offer_Driven,Guided_Stepwise,60_min,3,8,Pod_Aesthetics,Maybe,Clean and hygienic environment is non-negotiable,Probably,Try_Free_Trial
AURA_0483,Not_Motivated,Quality_Time,,199_349,274,299_499,399,Offer_Driven,Challenge_Mode,60_min,5,10,AI_Coaching,Maybe,Price must be under 500 for me to try it first,Definitely,Try_Free_Trial
AURA_1960,Not_Motivated,Intrinsic_Skill,Yes_Somewhat,99_199,149,,399,Social_Proof,Challenge_Mode,60_min,5,7,Supply_Quality,Definitely,Kids mode is a must for my family visits,No,Pay_Per_Session
AURA_0803,Moderate,Social_Content,No,199_349,274,499_799,649,Offer_Driven,Challenge_Mode,60_min,5,7,Indian_Art_Content,Maybe,Corporate team building package must have good group pricing,Maybe,Try_Free_Trial
AURA_0381,Moderate,Intrinsic_Skill,Yes_Somewhat,Above_499,599,499_799,649,Offer_Driven,Guided_Stepwise,45_min,4,8,,Probably,Corporate team building package must have good group pricing,No,Subscribe_Immediately
AURA_0025,Moderate,Wellness,Neutral,Below_99,60,No_Box,0,Social_Proof,Meditative,90_min,4,10,Supply_Quality,Maybe,"I want to learn Madhubani properly, not just doodle",Maybe,Not_Interested_Sub
AURA_1605,Strong_Yes,Wellness,Yes_Somewhat,199_349,274,499_799,649,Offer_Driven,Guided_Stepwise,90_min,3,7,Pod_Aesthetics,Probably,"I want to learn Madhubani properly, not just doodle",Definitely,Pay_Per_Session
AURA_1493,Not_Motivated,Intrinsic_Skill,Yes_Strongly,199_349,274,299_499,399,Social_Proof,Guided_Stepwise,60_min,4,8,,No,"I want to learn Madhubani properly, not just doodle",Definitely,Try_Free_Trial
AURA_0691,Not_Motivated,Status_Signal,Yes_Strongly,99_199,149,299_499,399,Impulse,Challenge_Mode,45_min,2,7,AI_Coaching,Probably,"I want to learn Madhubani properly, not just doodle",Probably,Subscribe_Immediately
AURA_0465,Moderate,Wellness,No,199_349,274,,399,Impulse,Guided_Stepwise,60_min,2,10,Supply_Quality,Definitely,Corporate team building package must have good group pricing,Definitely,Try_Free_Trial
AURA_0935,LinkedIn_Only,Intrinsic_Skill,No,Above_499,599,Below_299,199,Social_Proof,Challenge_Mode,20_min,4,8,,Maybe,Kids mode is a must for my family visits,No,Try_Free_Trial
AURA_0882,LinkedIn_Only,Quality_Time,Neutral,Above_499,599,Below_299,199,Impulse,Meditative,90_min,5,8,Indian_Art_Content,Probably,"The pod should feel like a premium spa, not a DIY store",Definitely,Subscribe_Immediately
AURA_0102,Moderate,Quality_Time,Neutral,199_349,274,299_499,399,Planned,Guided_Stepwise,60_min,3,10,AI_Coaching,Maybe,I want to see my progress visually tracked over time,Probably,Subscribe_Immediately
AURA_0752,Moderate,Wellness,Yes_Strongly,Below_99,60,499_799,649,Impulse,Guided_Freestyle,60_min,3,10,Community_Gallery,No,The AI coaching should feel like a real teacher,No,Not_Interested_Sub
AURA_1136,LinkedIn_Only,Quality_Time,Yes_Somewhat,No_Subscription,0,299_499,399,Offer_Driven,Meditative,60_min,4,10,Pod_Aesthetics,No,I want to see my progress visually tracked over time,No,Not_Interested_Sub
AURA_0206,Not_Motivated,Intrinsic_Skill,Yes_Strongly,199_349,274,799_1199,999,Offer_Driven,Guided_Stepwise,45_min,4,8,Pod_Aesthetics,Maybe,The AI coaching should feel like a real teacher,Maybe,Subscribe_Immediately
AURA_1654,Strong_Yes,Intrinsic_Skill,,199_349,274,299_499,399,Planned,Challenge_Mode,45_min,2,10,Community_Gallery,Probably,Clean and hygienic environment is non-negotiable,Definitely,Try_Free_Trial
AURA_0283,Moderate,Status_Signal,Neutral,199_349,274,299_499,399,Offer_Driven,Meditative,60_min,3,9,,Probably,Good quality brushes and paints — not cheap materials,Maybe,Subscribe_Immediately
AURA_1883,Strong_Yes,Wellness,Neutral,199_349,274,799_1199,999,Impulse,Guided_Stepwise,20_min,4,8,Indian_Art_Content,Probably,Need to support Hindi language tutorials,Maybe,Try_Free_Trial
AURA_0109,Strong_Yes,Intrinsic_Skill,Neutral,199_349,274,299_499,399,Offer_Driven,Challenge_Mode,90_min,5,9,Supply_Quality,No,"The pod should feel like a premium spa, not a DIY store",Probably,Subscribe_Immediately
AURA_0526,Strong_Yes,Social_Content,Yes_Somewhat,Above_499,599,,399,Impulse,Guided_Freestyle,60_min,2,10,AI_Coaching,,"The pod should feel like a premium spa, not a DIY store",Maybe,Subscribe_Immediately
AURA_0298,Not_Motivated,Intrinsic_Skill,Yes_Somewhat,99_199,149,499_799,649,Impulse,Challenge_Mode,90_min,3,10,Pod_Aesthetics,Maybe,The AI coaching should feel like a real teacher,Maybe,Pay_Per_Session
AURA_0340,Strong_Yes,Status_Signal,Yes_Somewhat,199_349,274,299_499,399,Planned,Meditative,45_min,5,8,Pod_Aesthetics,Maybe,Kids mode is a must for my family visits,Probably,Pay_Per_Session
AURA_1018,Strong_Yes,Social_Content,Neutral,349_499,424,299_499,399,Planned,Challenge_Mode,60_min,4,8,Indian_Art_Content,Probably,I'd love a date night version with my partner,No,Try_Free_Trial
AURA_1388,Moderate,Intrinsic_Skill,Yes_Somewhat,Below_99,60,499_799,649,Social_Proof,Guided_Freestyle,45_min,2,8,Supply_Quality,Probably,Integration with Instagram for direct sharing would be amazing,Maybe,Pay_Per_Session
AURA_1350,Not_Motivated,Status_Signal,No,Above_499,599,299_499,399,Impulse,Guided_Freestyle,90_min,3,9,AI_Coaching,Probably,Would love a monthly challenge or competition,Probably,Try_Free_Trial
AURA_1466,Not_Motivated,Social_Content,Yes_Strongly,Above_499,599,299_499,399,Offer_Driven,Guided_Freestyle,90_min,3,10,Supply_Quality,Probably,The artwork should be worth showing — printable quality,Probably,Try_Free_Trial
AURA_1285,Moderate,Wellness,Yes_Somewhat,Above_499,599,299_499,399,Impulse,Guided_Stepwise,60_min,3,9,Pod_Aesthetics,Definitely,Would love a monthly challenge or competition,Maybe,Subscribe_Immediately
AURA_0485,Not_Motivated,Wellness,Yes_Strongly,199_349,274,299_499,399,Social_Proof,Challenge_Mode,45_min,5,7,AI_Coaching,Definitely,Price must be under 500 for me to try it first,No,Try_Free_Trial
AURA_1151,LinkedIn_Only,Intrinsic_Skill,Yes_Strongly,349_499,424,Below_299,199,Social_Proof,Guided_Freestyle,45_min,4,7,Skill_Progress,Probably,The artwork should be worth showing — printable quality,Definitely,Not_Interested_Sub
AURA_0193,Moderate,Social_Content,No,99_199,149,Below_299,199,Planned,Guided_Stepwise,90_min,1,9,AI_Coaching,Maybe,Would love a monthly challenge or competition,Probably,Subscribe_Immediately
AURA_1747,Strong_Yes,Intrinsic_Skill,No,199_349,274,,0,Planned,Guided_Stepwise,45_min,5,8,Skill_Progress,Definitely,Good quality brushes and paints — not cheap materials,No,Try_Free_Trial
AURA_1054,Moderate,Intrinsic_Skill,Yes_Somewhat,99_199,149,299_499,399,Planned,Challenge_Mode,45_min,2,8,Supply_Quality,Maybe,"The pod should feel like a premium spa, not a DIY store",Maybe,Try_Free_Trial
AURA_0981,Moderate,Intrinsic_Skill,Neutral,349_499,424,499_799,649,Offer_Driven,Challenge_Mode,90_min,5,9,Skill_Progress,No,"The pod should feel like a premium spa, not a DIY store",Probably,Subscribe_Immediately
AURA_0756,Strong_Yes,Intrinsic_Skill,Neutral,99_199,149,499_799,649,Offer_Driven,Guided_Freestyle,90_min,4,9,Indian_Art_Content,Probably,Location in Phoenix Mall Wakad would be perfect,Maybe,Pay_Per_Session
AURA_0439,Moderate,Wellness,Yes_Strongly,99_199,149,Below_299,199,Social_Proof,Challenge_Mode,90_min,5,10,Supply_Quality,,I want to see my progress visually tracked over time,Probably,Try_Free_Trial
AURA_1699,Strong_Yes,Status_Signal,Neutral,199_349,274,299_499,399,Offer_Driven,Challenge_Mode,90_min,2,9,Community_Gallery,Probably,The artwork should be worth showing — printable quality,Probably,Try_Free_Trial
AURA_0985,Moderate,Social_Content,Neutral,99_199,149,Below_299,199,Planned,Challenge_Mode,90_min,2,8,,Definitely,Would love a monthly challenge or competition,Definitely,Try_Free_Trial
AURA_1574,LinkedIn_Only,Status_Signal,Yes_Strongly,Below_99,60,799_1199,999,Social_Proof,Guided_Freestyle,60_min,2,10,Indian_Art_Content,Definitely,Corporate team building package must have good group pricing,Probably,Not_Interested_Sub
AURA_1267,LinkedIn_Only,Intrinsic_Skill,Yes_Somewhat,99_199,149,No_Box,0,Offer_Driven,Guided_Stepwise,45_min,5,8,Supply_Quality,Probably,"I want to learn Madhubani properly, not just doodle",Probably,Try_Free_Trial
AURA_0248,Not_Motivated,Quality_Time,,349_499,424,299_499,399,Social_Proof,Challenge_Mode,45_min,2,9,Pod_Aesthetics,Definitely,Need to support Hindi language tutorials,Definitely,Pay_Per_Session
AURA_1682,Moderate,Quality_Time,Yes_Somewhat,99_199,149,499_799,649,Social_Proof,Guided_Freestyle,45_min,1,10,Pod_Aesthetics,Probably,Location in Phoenix Mall Wakad would be perfect,Probably,Pay_Per_Session
AURA_1856,Strong_Yes,Intrinsic_Skill,No,349_499,424,299_499,399,Social_Proof,Guided_Stepwise,20_min,4,7,Community_Gallery,Maybe,Corporate team building package must have good group pricing,Probably,Not_Interested_Sub
AURA_0147,Strong_Yes,Wellness,Neutral,99_199,149,299_499,399,Social_Proof,Guided_Freestyle,90_min,4,8,AI_Coaching,Definitely,Location in Phoenix Mall Wakad would be perfect,Definitely,Try_Free_Trial
AURA_1261,LinkedIn_Only,Intrinsic_Skill,No,199_349,274,499_799,649,Impulse,Meditative,90_min,5,8,Supply_Quality,Maybe,Price must be under 500 for me to try it first,Probably,Subscribe_Immediately
AURA_0736,Strong_Yes,Quality_Time,No,Above_499,599,299_499,399,Social_Proof,Challenge_Mode,60_min,4,9,AI_Coaching,Probably,I'd love a date night version with my partner,No,Subscribe_Immediately
AURA_0438,Moderate,Status_Signal,Neutral,Below_99,60,,199,Offer_Driven,Guided_Stepwise,45_min,4,9,Supply_Quality,Probably,Integration with Instagram for direct sharing would be amazing,Definitely,Try_Free_Trial
AURA_0782,Strong_Yes,Social_Content,Yes_Somewhat,99_199,149,499_799,649,Offer_Driven,Guided_Stepwise,45_min,4,8,AI_Coaching,Maybe,Need to support Hindi language tutorials,Probably,Try_Free_Trial
AURA_1539,Not_Motivated,Intrinsic_Skill,Yes_Somewhat,99_199,149,No_Box,0,Offer_Driven,Guided_Freestyle,90_min,5,10,Indian_Art_Content,Definitely,"The pod should feel like a premium spa, not a DIY store",Maybe,Try_Free_Trial
AURA_0087,Moderate,Wellness,Yes_Strongly,349_499,424,299_499,399,Social_Proof,Challenge_Mode,60_min,2,8,Skill_Progress,No,Need to support Hindi language tutorials,Probably,Pay_Per_Session
AURA_0048,LinkedIn_Only,Social_Content,Neutral,199_349,274,499_799,649,Planned,Guided_Freestyle,90_min,4,8,Community_Gallery,Maybe,Need to support Hindi language tutorials,Definitely,Subscribe_Immediately
AURA_1721,LinkedIn_Only,Social_Content,Yes_Somewhat,No_Subscription,0,499_799,649,Offer_Driven,Guided_Stepwise,90_min,3,8,Indian_Art_Content,Probably,Location in Phoenix Mall Wakad would be perfect,Definitely,Pay_Per_Session
AURA_1022,LinkedIn_Only,Intrinsic_Skill,Yes_Somewhat,199_349,274,Below_299,199,Offer_Driven,Guided_Freestyle,90_min,3,8,Indian_Art_Content,Maybe,Corporate team building package must have good group pricing,Probably,Try_Free_Trial
AURA_0568,Strong_Yes,Status_Signal,Yes_Somewhat,349_499,424,No_Box,0,Impulse,Guided_Freestyle,90_min,3,10,AI_Coaching,Definitely,Kids mode is a must for my family visits,Maybe,Try_Free_Trial
AURA_0783,LinkedIn_Only,Wellness,No,99_199,149,No_Box,0,Planned,Guided_Freestyle,60_min,3,9,Indian_Art_Content,Definitely,The artwork should be worth showing — printable quality,Probably,Pay_Per_Session
AURA_0239,Strong_Yes,Social_Content,Yes_Strongly,99_199,149,299_499,399,Offer_Driven,Challenge_Mode,45_min,5,10,Supply_Quality,Probably,Good quality brushes and paints — not cheap materials,Maybe,Pay_Per_Session
AURA_0494,Strong_Yes,Wellness,Neutral,No_Subscription,0,499_799,649,Offer_Driven,Guided_Freestyle,60_min,4,9,Supply_Quality,Maybe,Location in Phoenix Mall Wakad would be perfect,Probably,Pay_Per_Session
AURA_0535,Strong_Yes,Intrinsic_Skill,No,199_349,274,499_799,649,Impulse,Meditative,90_min,5,7,Supply_Quality,Definitely,Good quality brushes and paints — not cheap materials,Definitely,Subscribe_Immediately
AURA_1471,Strong_Yes,Wellness,No,Above_499,599,499_799,649,Planned,Challenge_Mode,60_min,4,9,AI_Coaching,Probably,The artwork should be worth showing — printable quality,Probably,Not_Interested_Sub
AURA_1838,Moderate,Wellness,Yes_Strongly,Below_99,60,299_499,399,Planned,Guided_Freestyle,60_min,3,10,Supply_Quality,Maybe,"The pod should feel like a premium spa, not a DIY store",Maybe,Not_Interested_Sub
AURA_1319,LinkedIn_Only,Status_Signal,No,Above_499,599,Below_299,199,Offer_Driven,Meditative,20_min,4,10,Supply_Quality,Definitely,Integration with Instagram for direct sharing would be amazing,Probably,Try_Free_Trial
AURA_0455,LinkedIn_Only,Status_Signal,Yes_Somewhat,349_499,424,799_1199,999,Impulse,Challenge_Mode,60_min,2,10,Skill_Progress,Maybe,Price must be under 500 for me to try it first,Maybe,Try_Free_Trial
AURA_0472,LinkedIn_Only,Wellness,Yes_Strongly,199_349,274,299_499,399,Impulse,Guided_Freestyle,90_min,3,8,Indian_Art_Content,Probably,Corporate team building package must have good group pricing,Probably,Subscribe_Immediately
AURA_1097,Strong_Yes,Wellness,Yes_Somewhat,No_Subscription,0,299_499,399,Impulse,Guided_Stepwise,20_min,3,7,Pod_Aesthetics,Probably,"The pod should feel like a premium spa, not a DIY store",Maybe,Try_Free_Trial
AURA_0428,Strong_Yes,Wellness,No,349_499,424,499_799,649,Offer_Driven,Challenge_Mode,60_min,2,9,Supply_Quality,Probably,Kids mode is a must for my family visits,Probably,Not_Interested_Sub
AURA_0593,Moderate,Intrinsic_Skill,Neutral,No_Subscription,0,Below_299,199,Planned,Challenge_Mode,60_min,3,8,,Definitely,The artwork should be worth showing — printable quality,No,Try_Free_Trial
AURA_1143,Moderate,Wellness,Neutral,199_349,274,299_499,399,Planned,Guided_Stepwise,90_min,3,9,Indian_Art_Content,Maybe,Integration with Instagram for direct sharing would be amazing,Probably,Try_Free_Trial
AURA_0977,LinkedIn_Only,Quality_Time,Yes_Strongly,Above_499,599,499_799,649,Planned,Challenge_Mode,20_min,4,8,AI_Coaching,Maybe,I'd love a date night version with my partner,No,Subscribe_Immediately
AURA_0006,Moderate,Status_Signal,Yes_Somewhat,99_199,149,499_799,649,Planned,Meditative,20_min,4,9,Community_Gallery,,"The pod should feel like a premium spa, not a DIY store",Probably,Not_Interested_Sub
AURA_0863,Not_Motivated,Status_Signal,Neutral,Above_499,599,299_499,399,Social_Proof,Guided_Stepwise,90_min,1,9,,No,Integration with Instagram for direct sharing would be amazing,Maybe,Subscribe_Immediately
AURA_0620,Strong_Yes,Wellness,No,349_499,424,,999,Social_Proof,Guided_Stepwise,60_min,2,8,Pod_Aesthetics,Maybe,Need to support Hindi language tutorials,Probably,Pay_Per_Session
AURA_1981,LinkedIn_Only,Intrinsic_Skill,Yes_Strongly,199_349,274,Below_299,199,Planned,Guided_Stepwise,90_min,4,7,,Definitely,The AI coaching should feel like a real teacher,Probably,Subscribe_Immediately
AURA_0384,Moderate,Social_Content,Yes_Somewhat,349_499,424,499_799,649,Offer_Driven,Guided_Stepwise,90_min,2,7,Supply_Quality,Maybe,Integration with Instagram for direct sharing would be amazing,Maybe,Pay_Per_Session
AURA_0045,Strong_Yes,Status_Signal,Yes_Strongly,349_499,424,No_Box,0,Planned,Challenge_Mode,60_min,4,8,AI_Coaching,Probably,Location in Phoenix Mall Wakad would be perfect,Probably,Pay_Per_Session
AURA_1793,Strong_Yes,Intrinsic_Skill,Yes_Somewhat,99_199,149,299_499,399,Offer_Driven,Meditative,60_min,4,8,Community_Gallery,Definitely,"I want to learn Madhubani properly, not just doodle",Probably,Try_Free_Trial
AURA_1743,Not_Motivated,Wellness,No,349_499,424,499_799,649,Social_Proof,Guided_Freestyle,60_min,3,10,Pod_Aesthetics,Probably,I'd love a date night version with my partner,Maybe,Not_Interested_Sub
AURA_0219,Moderate,Wellness,Yes_Strongly,99_199,149,299_499,399,Impulse,Meditative,45_min,3,10,Skill_Progress,Probably,Need to support Hindi language tutorials,Probably,Pay_Per_Session
AURA_0959,LinkedIn_Only,Wellness,Yes_Somewhat,Above_499,599,299_499,399,Planned,Challenge_Mode,60_min,3,8,Pod_Aesthetics,Definitely,"The pod should feel like a premium spa, not a DIY store",Probably,Subscribe_Immediately
AURA_1922,Moderate,Status_Signal,No,No_Subscription,0,No_Box,0,Social_Proof,Guided_Freestyle,90_min,3,9,Supply_Quality,Maybe,Good quality brushes and paints — not cheap materials,Probably,Try_Free_Trial
AURA_1048,Strong_Yes,Intrinsic_Skill,,349_499,424,799_1199,999,Impulse,Challenge_Mode,45_min,4,7,Supply_Quality,Probably,Integration with Instagram for direct sharing would be amazing,Definitely,Subscribe_Immediately
AURA_0312,Strong_Yes,Wellness,Yes_Somewhat,Below_99,60,,649,Offer_Driven,Challenge_Mode,60_min,4,9,Pod_Aesthetics,Probably,I want to see my progress visually tracked over time,Probably,Subscribe_Immediately
AURA_1507,LinkedIn_Only,Quality_Time,Neutral,99_199,149,,649,Social_Proof,Guided_Freestyle,90_min,5,7,,Probably,The AI coaching should feel like a real teacher,Definitely,Not_Interested_Sub
AURA_1428,Moderate,Status_Signal,Yes_Strongly,349_499,424,499_799,649,Planned,Guided_Stepwise,60_min,2,10,Indian_Art_Content,Probably,Good quality brushes and paints — not cheap materials,Probably,Pay_Per_Session
AURA_1779,Strong_Yes,Intrinsic_Skill,Yes_Somewhat,349_499,424,299_499,399,Planned,Guided_Stepwise,45_min,4,8,Pod_Aesthetics,No,Price must be under 500 for me to try it first,Probably,Try_Free_Trial
AURA_1693,Moderate,Wellness,No,Above_499,599,499_799,649,Social_Proof,Guided_Freestyle,90_min,3,8,Pod_Aesthetics,No,"The pod should feel like a premium spa, not a DIY store",Maybe,Subscribe_Immediately
AURA_0022,Strong_Yes,Social_Content,Yes_Strongly,349_499,424,499_799,649,Social_Proof,Guided_Freestyle,20_min,2,9,Pod_Aesthetics,Definitely,The AI coaching should feel like a real teacher,No,Try_Free_Trial
AURA_1505,Strong_Yes,Status_Signal,Yes_Somewhat,349_499,424,299_499,399,Offer_Driven,Meditative,45_min,3,10,AI_Coaching,Maybe,Integration with Instagram for direct sharing would be amazing,Definitely,Pay_Per_Session
AURA_0569,Strong_Yes,Wellness,Yes_Strongly,99_199,149,499_799,649,Planned,Meditative,60_min,2,10,,No,Clean and hygienic environment is non-negotiable,Probably,Subscribe_Immediately
AURA_1816,Not_Motivated,Intrinsic_Skill,Yes_Somewhat,99_199,149,499_799,649,Impulse,Guided_Freestyle,60_min,2,8,Supply_Quality,Maybe,Integration with Instagram for direct sharing would be amazing,Probably,Subscribe_Immediately
AURA_1519,Not_Motivated,Wellness,Neutral,99_199,149,499_799,649,Planned,Challenge_Mode,45_min,3,8,Skill_Progress,Probably,Integration with Instagram for direct sharing would be amazing,No,Try_Free_Trial
AURA_1904,Moderate,Intrinsic_Skill,Neutral,349_499,424,299_499,399,Planned,Guided_Freestyle,60_min,4,10,Pod_Aesthetics,Maybe,Integration with Instagram for direct sharing would be amazing,Probably,Subscribe_Immediately
AURA_0058,Moderate,Intrinsic_Skill,Yes_Strongly,349_499,424,No_Box,0,Offer_Driven,Guided_Freestyle,60_min,4,10,Pod_Aesthetics,Probably,Location in Phoenix Mall Wakad would be perfect,No,Pay_Per_Session
AURA_1338,Moderate,Intrinsic_Skill,Yes_Somewhat,349_499,424,499_799,649,Planned,Challenge_Mode,60_min,3,7,Indian_Art_Content,No,The artwork should be worth showing — printable quality,Maybe,Pay_Per_Session
AURA_1333,Strong_Yes,Social_Content,Yes_Strongly,99_199,149,799_1199,999,Social_Proof,Challenge_Mode,60_min,3,9,Community_Gallery,Maybe,Location in Phoenix Mall Wakad would be perfect,Definitely,Pay_Per_Session
